date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:01	1449/1449	---MCZ	404	error ('Not%20Found')	text/html	etag:1514536889-ssl-df	https://megaconbeton.netlify.app/robots.txt		(from )
15:00:01	22239/22239	---MCZ	200	added ('OK')	text/html	etag:%22dcf315c5ee917b57f041bf916ce1822a-ssl-df%22	https://megaconbeton.netlify.app/	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/index.html	(from )
15:00:02	49195/49195	---M--	200	added ('OK')	image/png	etag:%22ea6edbb23c3d9872e9c3dfb8a99e2c14-ssl%22	https://megaconbeton.netlify.app/images/logompfavicon.png	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/logompfavicon.png	(from https://megaconbeton.netlify.app/)
15:00:02	73008/73008	---MCZ	200	added ('OK')	text/css	etag:%225b4966a08925abf833fbbdfffaa89002-ssl-df%22	https://megaconbeton.netlify.app/css/animate.css	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/css/animate.css	(from https://megaconbeton.netlify.app/)
15:00:03	25225/25225	---MCZ	200	added ('OK')	text/css	etag:%2277281ff8c8202f78710aa4c512939ca4-ssl-df%22	https://megaconbeton.netlify.app/css/icomoon.css	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/css/icomoon.css	(from https://megaconbeton.netlify.app/)
15:00:03	16519/16519	---MCZ	200	added ('OK')	text/css	etag:%22fb53075a0a77bb80d74891823cc5c3c1-ssl-df%22	https://megaconbeton.netlify.app/css/themify-icons.css	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/css/themify-icons.css	(from https://megaconbeton.netlify.app/)
15:00:03	134656/134656	---MCZ	200	added ('OK')	text/css	etag:%2272f581a62a2569acd39efeb93e54d6aa-ssl-df%22	https://megaconbeton.netlify.app/css/bootstrap.css	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/css/bootstrap.css	(from https://megaconbeton.netlify.app/)
15:00:04	7781/7781	---MCZ	200	added ('OK')	text/css	etag:%2218a98914a5c935221e42d45ad08c8b41-ssl-df%22	https://megaconbeton.netlify.app/css/magnific-popup.css	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/css/magnific-popup.css	(from https://megaconbeton.netlify.app/)
15:00:04	3630/3630	---MCZ	200	added ('OK')	text/css	etag:%22d13fe739df738a68b200709e65e6ccff-ssl-df%22	https://megaconbeton.netlify.app/css/owl.carousel.min.css	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/css/owl.carousel.min.css	(from https://megaconbeton.netlify.app/)
15:00:05	1055/1055	---M-Z	200	added ('OK')	text/css	etag:%22fe1f64dc81b5c69452565cf87e64c898-ssl-df%22	https://megaconbeton.netlify.app/css/owl.theme.default.min.css	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/css/owl.theme.default.min.css	(from https://megaconbeton.netlify.app/)
15:00:05	38797/38797	---MCZ	200	added ('OK')	text/css	etag:%223cb393510691cab314c0fd28a5228985-ssl-df%22	https://megaconbeton.netlify.app/css/style.css	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/css/style.css	(from https://megaconbeton.netlify.app/)
15:00:06	15413/15413	---MCZ	200	added ('OK')	application/javascript	etag:%22722c13b2e6a61af6f3f29626f1fe60b9-ssl-df%22	https://megaconbeton.netlify.app/js/modernizr-2.6.2.min.js	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/js/modernizr-2.6.2.min.js	(from https://megaconbeton.netlify.app/)
15:00:07	22239/22239	---MCZ	200	added ('OK')	text/html	etag:%22dcf315c5ee917b57f041bf916ce1822a-ssl-df%22	https://megaconbeton.netlify.app/index.html	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/index-2.html	(from https://megaconbeton.netlify.app/)
15:00:07	11161/11161	---MCZ	200	added ('OK')	text/html	etag:%224586133ccbf9b6471eda0e70d9b2a537-ssl-df%22	https://megaconbeton.netlify.app/about.html	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/about.html	(from https://megaconbeton.netlify.app/)
15:00:08	15177/15177	---MCZ	200	added ('OK')	text/html	etag:%2220adfea7f61cbd025ba0ce451ca13b0e-ssl-df%22	https://megaconbeton.netlify.app/services.html	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/services.html	(from https://megaconbeton.netlify.app/)
15:00:08	15136/15136	---MCZ	200	added ('OK')	text/html	etag:%22f66d7736aa4ade88062d032705952c2b-ssl-df%22	https://megaconbeton.netlify.app/produk-uditch.html	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/produk-uditch.html	(from https://megaconbeton.netlify.app/)
15:00:09	15519/15519	---MCZ	200	added ('OK')	text/html	etag:%228776240fa02c48432805e809c0eca92e-ssl-df%22	https://megaconbeton.netlify.app/produk-coveruditch.html	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/produk-coveruditch.html	(from https://megaconbeton.netlify.app/)
15:00:10	15607/15607	---MCZ	200	added ('OK')	text/html	etag:%2296d3211525329f6fb7330c6e85d33ee6-ssl-df%22	https://megaconbeton.netlify.app/produk-kanstin.html	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/produk-kanstin.html	(from https://megaconbeton.netlify.app/)
15:00:11	15960/15960	---MCZ	200	added ('OK')	text/html	etag:%222f3cf8b8891e07e87135b5ff87b61a2a-ssl-df%22	https://megaconbeton.netlify.app/produk-boxculvert.html	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/produk-boxculvert.html	(from https://megaconbeton.netlify.app/)
15:00:12	15765/15765	---MCZ	200	added ('OK')	text/html	etag:%223aff2b92be4ee836fc350e649f02a7c3-ssl-df%22	https://megaconbeton.netlify.app/produk-pagarpanelbeton.html	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/produk-pagarpanelbeton.html	(from https://megaconbeton.netlify.app/)
15:00:12	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1514536889-ssl-df	https://megaconbeton.netlify.app/produk-pipadrainase.html	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/produk-pipadrainase.12.delayed	(from https://megaconbeton.netlify.app/)
15:00:13	15327/15327	---MCZ	200	added ('OK')	text/html	etag:%2247767e76fd21489098301245f03abd46-ssl-df%22	https://megaconbeton.netlify.app/produk-pipabeton.html	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/produk-pipabeton.html	(from https://megaconbeton.netlify.app/)
15:00:13	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1514536889-ssl-df	https://megaconbeton.netlify.app/produk-roadbarrier.html	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/produk-roadbarrier.14.delayed	(from https://megaconbeton.netlify.app/)
15:00:14	15435/15435	---MCZ	200	added ('OK')	text/html	etag:%226223fe5901d237524ed6e83b69a178dd-ssl-df%22	https://megaconbeton.netlify.app/produk-sheetpile.html	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/produk-sheetpile.html	(from https://megaconbeton.netlify.app/)
15:00:15	15640/15640	---MCZ	200	added ('OK')	text/html	etag:%22e563876e666408900c6377ce018fd0ab-ssl-df%22	https://megaconbeton.netlify.app/produk-tiangpancang.html	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/produk-tiangpancang.html	(from https://megaconbeton.netlify.app/)
15:00:16	279318/279318	---M--	200	added ('OK')	image/jpeg	etag:%227d418cf550708b49bba303d76bfdc65c-ssl%22	https://megaconbeton.netlify.app/images/hd.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/hd.jpg	(from https://megaconbeton.netlify.app/)
15:00:16	10650/10650	---M--	200	added ('OK')	image/jpeg	etag:%2279a3e12186c9cb1f693eafa29648cd6a-ssl%22	https://megaconbeton.netlify.app/images/box-culvert.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/box-culvert.jpg	(from https://megaconbeton.netlify.app/)
15:00:16	12909/12909	---M--	200	added ('OK')	image/jpeg	etag:%227aed9cf972f767925c42bfec1e432459-ssl%22	https://megaconbeton.netlify.app/images/u-ditch.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/u-ditch.jpg	(from https://megaconbeton.netlify.app/)
15:00:17	13674/13674	---M--	200	added ('OK')	image/jpeg	etag:%22233e9ce0b67b273a4e2ba396bb870444-ssl%22	https://megaconbeton.netlify.app/images/cover-uditch.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/cover-uditch.jpg	(from https://megaconbeton.netlify.app/)
15:00:18	13557/13557	---M--	200	added ('OK')	image/jpeg	etag:%22e6a4ab0f6bc4dbd8bd11fb74a68c09f6-ssl%22	https://megaconbeton.netlify.app/images/sheetpile.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/sheetpile.jpg	(from https://megaconbeton.netlify.app/)
15:00:18	13553/13553	---M--	200	added ('OK')	image/jpeg	etag:%22d319ff302c055f43c9f74ca473031c9a-ssl%22	https://megaconbeton.netlify.app/images/kanstin.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/kanstin.jpg	(from https://megaconbeton.netlify.app/)
15:00:19	11833/11833	---M--	200	added ('OK')	image/jpeg	etag:%22dbd5a50913c1687feb802985c5351cac-ssl%22	https://megaconbeton.netlify.app/images/pipapancang.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/pipapancang.jpg	(from https://megaconbeton.netlify.app/)
15:00:20	12356/12356	---M--	200	added ('OK')	image/jpeg	etag:%2256409574bffa0b08a8b95d5999c267a0-ssl%22	https://megaconbeton.netlify.app/images/pagar-beton.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/pagar-beton.jpg	(from https://megaconbeton.netlify.app/)
15:00:21	13469/13469	---M--	200	added ('OK')	image/jpeg	etag:%22f5cb460e8be88695f50317b23d2a8b92-ssl%22	https://megaconbeton.netlify.app/images/pipabeton.jpeg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/pipabeton.jpg	(from https://megaconbeton.netlify.app/)
15:00:22	8538/8538	---M--	200	added ('OK')	image/jpeg	etag:%22071105b46fb479ec6a486c687d0c482b-ssl%22	https://megaconbeton.netlify.app/images/pipadrainase.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/pipadrainase.jpg	(from https://megaconbeton.netlify.app/)
15:00:23	6100/6100	---M--	200	added ('OK')	image/jpeg	etag:%228946d06df283caffebbf9ff99e4be512-ssl%22	https://megaconbeton.netlify.app/images/roadbarrier.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/roadbarrier.jpg	(from https://megaconbeton.netlify.app/)
15:00:23	387877/387877	---M--	200	added ('OK')	image/jpeg	etag:%227ac857c7884b8ce90a70839cb853969d-ssl%22	https://megaconbeton.netlify.app/images/1_20110812_15162541_.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/1_20110812_15162541_.jpg	(from https://megaconbeton.netlify.app/)
15:00:24	40989/40989	---M--	200	added ('OK')	image/jpeg	etag:%22c9396e055ca54ccad575253634d7796e-ssl%22	https://megaconbeton.netlify.app/images/barrier.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/barrier.jpg	(from https://megaconbeton.netlify.app/)
15:00:24	85568/85568	---M--	200	added ('OK')	image/jpeg	etag:%221d5b8d173f601f975fd702489158e72e-ssl%22	https://megaconbeton.netlify.app/images/HK-Box-Culvert-5.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/HK-Box-Culvert-5.jpg	(from https://megaconbeton.netlify.app/)
15:00:25	454312/454312	---M--	200	added ('OK')	image/jpeg	etag:%2230e6ac3f7c21926dd134eccac131482d-ssl%22	https://megaconbeton.netlify.app/images/box-culvert-2.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/box-culvert-2.jpg	(from https://megaconbeton.netlify.app/)
15:00:25	51522/51522	---M--	200	added ('OK')	image/jpeg	etag:%22f79456783ec1961b9d3c61331678d5e0-ssl%22	https://megaconbeton.netlify.app/images/box-culvert-9.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/box-culvert-9.jpg	(from https://megaconbeton.netlify.app/)
15:00:26	213744/213744	---M--	200	added ('OK')	image/jpeg	etag:%227533f561f72d627e4b1e16d02aeac9c8-ssl%22	https://megaconbeton.netlify.app/images/DSC00836.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/DSC00836.jpg	(from https://megaconbeton.netlify.app/)
15:00:26	48404/48404	---M--	200	added ('OK')	image/jpeg	etag:%228f1b33069cd84be67ca828ea08685718-ssl%22	https://megaconbeton.netlify.app/images/f05023589832715.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/f05023589832715.jpg	(from https://megaconbeton.netlify.app/)
15:00:27	32961/32961	---M--	200	added ('OK')	image/jpeg	etag:%229648f237b043da30cacfe5e9b222cb90-ssl%22	https://megaconbeton.netlify.app/images/uditch-beton-saluran.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/uditch-beton-saluran.jpg	(from https://megaconbeton.netlify.app/)
15:00:27	31166/31166	---M--	200	added ('OK')	image/jpeg	etag:%2206f711622e25f1983e07a854c90801a3-ssl%22	https://megaconbeton.netlify.app/images/injeksi-beton-6-960x400_c.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/injeksi-beton-6-960x400_c.jpg	(from https://megaconbeton.netlify.app/)
15:00:28	51411/51411	---M--	200	added ('OK')	image/jpeg	etag:%221adad9dec4573ea379bea6505ce5aa57-ssl%22	https://megaconbeton.netlify.app/images/jual-pagar-panel-semarang.jpg	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/images/jual-pagar-panel-semarang.jpg	(from https://megaconbeton.netlify.app/)
15:00:28	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1514536889-ssl-df	https://megaconbeton.netlify.app/www.megaconbeton.com	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/www.megaconbeton.2c.delayed	(from https://megaconbeton.netlify.app/)
15:00:29	84380/84380	---MCZ	200	added ('OK')	application/javascript	etag:%22a1160e706d84f195e23bac55eb213d9e-ssl-df%22	https://megaconbeton.netlify.app/js/jquery.min.js	C:/My%20Web%20Sites/megaconbeton.netlify.app/megaconbeton.netlify.app/js/jquery.min.js	(from https://megaconbeton.netlify.app/)
